,parents,has_nurs,form,children,housing,social,health,class
59,usual,3,complete,1,0,2,not_recom,0
60,usual,3,complete,1,0,1,recommended,1
61,usual,3,complete,1,0,1,priority,1
62,usual,3,complete,1,0,1,not_recom,0
63,usual,3,complete,1,0,0,recommended,4
64,usual,3,complete,1,0,0,priority,1
65,usual,3,complete,1,0,0,not_recom,0
66,usual,3,complete,1,0,2,recommended,4
67,usual,3,complete,1,0,2,priority,1
68,usual,3,complete,1,0,2,not_recom,0
69,usual,3,complete,1,0,1,recommended,1
70,usual,3,complete,1,0,1,priority,1
71,usual,3,complete,1,0,1,not_recom,0
72,usual,3,complete,1,2,0,recommended,4
73,usual,3,complete,1,2,0,priority,1
74,usual,3,complete,1,2,0,not_recom,0
75,usual,3,complete,1,2,2,recommended,4
76,usual,3,complete,1,2,2,priority,1
77,usual,3,complete,1,2,2,not_recom,0
78,usual,3,complete,1,2,1,recommended,1
79,usual,3,complete,1,2,1,priority,1
80,usual,3,complete,1,2,1,not_recom,0
81,usual,3,complete,1,2,0,recommended,4
82,usual,3,complete,1,2,0,priority,1
83,usual,3,complete,1,2,0,not_recom,0
84,usual,3,complete,1,2,2,recommended,4
85,usual,3,complete,1,2,2,priority,1
86,usual,3,complete,1,2,2,not_recom,0
87,usual,3,complete,1,2,1,recommended,1
88,usual,3,complete,1,2,1,priority,1
89,usual,3,complete,1,2,1,not_recom,0
90,usual,3,complete,1,1,0,recommended,1
91,usual,3,complete,1,1,0,priority,1
92,usual,3,complete,1,1,0,not_recom,0
93,usual,3,complete,1,1,2,recommended,1
94,usual,3,complete,1,1,2,priority,1
95,usual,3,complete,1,1,2,not_recom,0
96,usual,3,complete,1,1,1,recommended,1
97,usual,3,complete,1,1,1,priority,1
98,usual,3,complete,1,1,1,not_recom,0
99,usual,3,complete,1,1,0,recommended,1
100,usual,3,complete,1,1,0,priority,1
101,usual,3,complete,1,1,0,not_recom,0
102,usual,3,complete,1,1,2,recommended,1
103,usual,3,complete,1,1,2,priority,1
104,usual,3,complete,1,1,2,not_recom,0
105,usual,3,complete,1,1,1,recommended,1
106,usual,3,complete,1,1,1,priority,1
107,usual,3,complete,1,1,1,not_recom,0
108,usual,3,complete,2,0,0,recommended,4
109,usual,3,complete,2,0,0,priority,1
110,usual,3,complete,2,0,0,not_recom,0
111,usual,3,complete,2,0,2,recommended,4
112,usual,3,complete,2,0,2,priority,1
113,usual,3,complete,2,0,2,not_recom,0
114,usual,3,complete,2,0,1,recommended,1
115,usual,3,complete,2,0,1,priority,1
116,usual,3,complete,2,0,1,not_recom,0
117,usual,3,complete,2,0,0,recommended,1
118,usual,3,complete,2,0,0,priority,1
119,usual,3,complete,2,0,0,not_recom,0
120,usual,3,complete,2,0,2,recommended,1
121,usual,3,complete,2,0,2,priority,1
122,usual,3,complete,2,0,2,not_recom,0
123,usual,3,complete,2,0,1,recommended,1
124,usual,3,complete,2,0,1,priority,1
125,usual,3,complete,2,0,1,not_recom,0
126,usual,3,complete,2,2,0,recommended,1
127,usual,3,complete,2,2,0,priority,1
128,usual,3,complete,2,2,0,not_recom,0
129,usual,3,complete,2,2,2,recommended,1
130,usual,3,complete,2,2,2,priority,1
131,usual,3,complete,2,2,2,not_recom,0
132,usual,3,complete,2,2,1,recommended,1
133,usual,3,complete,2,2,1,priority,1
134,usual,3,complete,2,2,1,not_recom,0
135,usual,3,complete,2,2,0,recommended,1
136,usual,3,complete,2,2,0,priority,1
137,usual,3,complete,2,2,0,not_recom,0
138,usual,3,complete,2,2,2,recommended,1
139,usual,3,complete,2,2,2,priority,1
140,usual,3,complete,2,2,2,not_recom,0
141,usual,3,complete,2,2,1,recommended,1
142,usual,3,complete,2,2,1,priority,1
143,usual,3,complete,2,2,1,not_recom,0
144,usual,3,complete,2,1,0,recommended,1
145,usual,3,complete,2,1,0,priority,1
146,usual,3,complete,2,1,0,not_recom,0
147,usual,3,complete,2,1,2,recommended,1
148,usual,3,complete,2,1,2,priority,1
149,usual,3,complete,2,1,2,not_recom,0
150,usual,3,complete,2,1,1,recommended,1
151,usual,3,complete,2,1,1,priority,1
152,usual,3,complete,2,1,1,not_recom,0
153,usual,3,complete,2,1,0,recommended,1
154,usual,3,complete,2,1,0,priority,1
155,usual,3,complete,2,1,0,not_recom,0
156,usual,3,complete,2,1,2,recommended,1
157,usual,3,complete,2,1,2,priority,1
158,usual,3,complete,2,1,2,not_recom,0
159,usual,3,complete,2,1,1,recommended,1
160,usual,3,complete,2,1,1,priority,1
161,usual,3,complete,2,1,1,not_recom,0
162,usual,3,complete,3,0,0,recommended,4
163,usual,3,complete,3,0,0,priority,1
164,usual,3,complete,3,0,0,not_recom,0
165,usual,3,complete,3,0,2,recommended,4
166,usual,3,complete,3,0,2,priority,1
167,usual,3,complete,3,0,2,not_recom,0
168,usual,3,complete,3,0,1,recommended,1
169,usual,3,complete,3,0,1,priority,1
170,usual,3,complete,3,0,1,not_recom,0
171,usual,3,complete,3,0,0,recommended,1
172,usual,3,complete,3,0,0,priority,1
173,usual,3,complete,3,0,0,not_recom,0
174,usual,3,complete,3,0,2,recommended,1
175,usual,3,complete,3,0,2,priority,1
176,usual,3,complete,3,0,2,not_recom,0
177,usual,3,complete,3,0,1,recommended,1
178,usual,3,complete,3,0,1,priority,1
179,usual,3,complete,3,0,1,not_recom,0
180,usual,3,complete,3,2,0,recommended,1
181,usual,3,complete,3,2,0,priority,1
182,usual,3,complete,3,2,0,not_recom,0
183,usual,3,complete,3,2,2,recommended,1
184,usual,3,complete,3,2,2,priority,1
185,usual,3,complete,3,2,2,not_recom,0
186,usual,3,complete,3,2,1,recommended,1
187,usual,3,complete,3,2,1,priority,1
188,usual,3,complete,3,2,1,not_recom,0
189,usual,3,complete,3,2,0,recommended,1
190,usual,3,complete,3,2,0,priority,1
191,usual,3,complete,3,2,0,not_recom,0
192,usual,3,complete,3,2,2,recommended,1
193,usual,3,complete,3,2,2,priority,1
194,usual,3,complete,3,2,2,not_recom,0
195,usual,3,complete,3,2,1,recommended,1
196,usual,3,complete,3,2,1,priority,1
197,usual,3,complete,3,2,1,not_recom,0
198,usual,3,complete,3,1,0,recommended,1
199,usual,3,complete,3,1,0,priority,1
200,usual,3,complete,3,1,0,not_recom,0
201,usual,3,complete,3,1,2,recommended,1
202,usual,3,complete,3,1,2,priority,1
203,usual,3,complete,3,1,2,not_recom,0
204,usual,3,complete,3,1,1,recommended,1
205,usual,3,complete,3,1,1,priority,1
206,usual,3,complete,3,1,1,not_recom,0
207,usual,3,complete,3,1,0,recommended,1
208,usual,3,complete,3,1,0,priority,1
209,usual,3,complete,3,1,0,not_recom,0
210,usual,3,complete,3,1,2,recommended,1
211,usual,3,complete,3,1,2,priority,1
212,usual,3,complete,3,1,2,not_recom,0
213,usual,3,complete,3,1,1,recommended,1
214,usual,3,complete,3,1,1,priority,1
215,usual,3,complete,3,1,1,not_recom,0
216,usual,3,completed,0,0,0,recommended,4
217,usual,3,completed,0,0,0,priority,1
218,usual,3,completed,0,0,0,not_recom,0
219,usual,3,completed,0,0,2,recommended,4
220,usual,3,completed,0,0,2,priority,1
221,usual,3,completed,0,0,2,not_recom,0
222,usual,3,completed,0,0,1,recommended,1
223,usual,3,completed,0,0,1,priority,1
224,usual,3,completed,0,0,1,not_recom,0
225,usual,3,completed,0,0,0,recommended,4
226,usual,3,completed,0,0,0,priority,1
227,usual,3,completed,0,0,0,not_recom,0
228,usual,3,completed,0,0,2,recommended,4
229,usual,3,completed,0,0,2,priority,1
230,usual,3,completed,0,0,2,not_recom,0
231,usual,3,completed,0,0,1,recommended,1
232,usual,3,completed,0,0,1,priority,1
233,usual,3,completed,0,0,1,not_recom,0
234,usual,3,completed,0,2,0,recommended,4
235,usual,3,completed,0,2,0,priority,1
236,usual,3,completed,0,2,0,not_recom,0
237,usual,3,completed,0,2,2,recommended,4
238,usual,3,completed,0,2,2,priority,1
239,usual,3,completed,0,2,2,not_recom,0
240,usual,3,completed,0,2,1,recommended,1
241,usual,3,completed,0,2,1,priority,1
242,usual,3,completed,0,2,1,not_recom,0
243,usual,3,completed,0,2,0,recommended,4
244,usual,3,completed,0,2,0,priority,1
245,usual,3,completed,0,2,0,not_recom,0
246,usual,3,completed,0,2,2,recommended,4
247,usual,3,completed,0,2,2,priority,1
248,usual,3,completed,0,2,2,not_recom,0
249,usual,3,completed,0,2,1,recommended,1
250,usual,3,completed,0,2,1,priority,1
251,usual,3,completed,0,2,1,not_recom,0
252,usual,3,completed,0,1,0,recommended,1
253,usual,3,completed,0,1,0,priority,1
254,usual,3,completed,0,1,0,not_recom,0
255,usual,3,completed,0,1,2,recommended,1
256,usual,3,completed,0,1,2,priority,1
257,usual,3,completed,0,1,2,not_recom,0
258,usual,3,completed,0,1,1,recommended,1
259,usual,3,completed,0,1,1,priority,1
260,usual,3,completed,0,1,1,not_recom,0
261,usual,3,completed,0,1,0,recommended,1
262,usual,3,completed,0,1,0,priority,1
263,usual,3,completed,0,1,0,not_recom,0
264,usual,3,completed,0,1,2,recommended,1
265,usual,3,completed,0,1,2,priority,1
266,usual,3,completed,0,1,2,not_recom,0
267,usual,3,completed,0,1,1,recommended,1
268,usual,3,completed,0,1,1,priority,1
269,usual,3,completed,0,1,1,not_recom,0
270,usual,3,completed,1,0,0,recommended,4
271,usual,3,completed,1,0,0,priority,1
272,usual,3,completed,1,0,0,not_recom,0
273,usual,3,completed,1,0,2,recommended,4
274,usual,3,completed,1,0,2,priority,1
275,usual,3,completed,1,0,2,not_recom,0
276,usual,3,completed,1,0,1,recommended,1
277,usual,3,completed,1,0,1,priority,1
278,usual,3,completed,1,0,1,not_recom,0
279,usual,3,completed,1,0,0,recommended,4
280,usual,3,completed,1,0,0,priority,1
281,usual,3,completed,1,0,0,not_recom,0
282,usual,3,completed,1,0,2,recommended,4
283,usual,3,completed,1,0,2,priority,1
284,usual,3,completed,1,0,2,not_recom,0
285,usual,3,completed,1,0,1,recommended,1
286,usual,3,completed,1,0,1,priority,1
287,usual,3,completed,1,0,1,not_recom,0
288,usual,3,completed,1,2,0,recommended,4
289,usual,3,completed,1,2,0,priority,1
290,usual,3,completed,1,2,0,not_recom,0
291,usual,3,completed,1,2,2,recommended,4
292,usual,3,completed,1,2,2,priority,1
293,usual,3,completed,1,2,2,not_recom,0
294,usual,3,completed,1,2,1,recommended,1
295,usual,3,completed,1,2,1,priority,1
296,usual,3,completed,1,2,1,not_recom,0
297,usual,3,completed,1,2,0,recommended,4
298,usual,3,completed,1,2,0,priority,1
299,usual,3,completed,1,2,0,not_recom,0
300,usual,3,completed,1,2,2,recommended,4
301,usual,3,completed,1,2,2,priority,1
302,usual,3,completed,1,2,2,not_recom,0
303,usual,3,completed,1,2,1,recommended,1
304,usual,3,completed,1,2,1,priority,1
305,usual,3,completed,1,2,1,not_recom,0
306,usual,3,completed,1,1,0,recommended,1
307,usual,3,completed,1,1,0,priority,1
308,usual,3,completed,1,1,0,not_recom,0
309,usual,3,completed,1,1,2,recommended,1
310,usual,3,completed,1,1,2,priority,1
311,usual,3,completed,1,1,2,not_recom,0
312,usual,3,completed,1,1,1,recommended,1
313,usual,3,completed,1,1,1,priority,1
314,usual,3,completed,1,1,1,not_recom,0
315,usual,3,completed,1,1,0,recommended,1
316,usual,3,completed,1,1,0,priority,1
317,usual,3,completed,1,1,0,not_recom,0
318,usual,3,completed,1,1,2,recommended,1
319,usual,3,completed,1,1,2,priority,1
320,usual,3,completed,1,1,2,not_recom,0
321,usual,3,completed,1,1,1,recommended,1
322,usual,3,completed,1,1,1,priority,1
323,usual,3,completed,1,1,1,not_recom,0
324,usual,3,completed,2,0,0,recommended,4
325,usual,3,completed,2,0,0,priority,1
326,usual,3,completed,2,0,0,not_recom,0
327,usual,3,completed,2,0,2,recommended,4
328,usual,3,completed,2,0,2,priority,1
329,usual,3,completed,2,0,2,not_recom,0
330,usual,3,completed,2,0,1,recommended,1
331,usual,3,completed,2,0,1,priority,1
332,usual,3,completed,2,0,1,not_recom,0
333,usual,3,completed,2,0,0,recommended,1
334,usual,3,completed,2,0,0,priority,1
335,usual,3,completed,2,0,0,not_recom,0
336,usual,3,completed,2,0,2,recommended,1
337,usual,3,completed,2,0,2,priority,1
338,usual,3,completed,2,0,2,not_recom,0
339,usual,3,completed,2,0,1,recommended,1
340,usual,3,completed,2,0,1,priority,1
341,usual,3,completed,2,0,1,not_recom,0
342,usual,3,completed,2,2,0,recommended,1
343,usual,3,completed,2,2,0,priority,1
344,usual,3,completed,2,2,0,not_recom,0
345,usual,3,completed,2,2,2,recommended,1
346,usual,3,completed,2,2,2,priority,1
347,usual,3,completed,2,2,2,not_recom,0
348,usual,3,completed,2,2,1,recommended,1
349,usual,3,completed,2,2,1,priority,1
350,usual,3,completed,2,2,1,not_recom,0
351,usual,3,completed,2,2,0,recommended,1
352,usual,3,completed,2,2,0,priority,1
353,usual,3,completed,2,2,0,not_recom,0
354,usual,3,completed,2,2,2,recommended,1
355,usual,3,completed,2,2,2,priority,1
356,usual,3,completed,2,2,2,not_recom,0
357,usual,3,completed,2,2,1,recommended,1
358,usual,3,completed,2,2,1,priority,1
359,usual,3,completed,2,2,1,not_recom,0
360,usual,3,completed,2,1,0,recommended,1
361,usual,3,completed,2,1,0,priority,1
362,usual,3,completed,2,1,0,not_recom,0
363,usual,3,completed,2,1,2,recommended,1
364,usual,3,completed,2,1,2,priority,1
365,usual,3,completed,2,1,2,not_recom,0
366,usual,3,completed,2,1,1,recommended,1
367,usual,3,completed,2,1,1,priority,1
368,usual,3,completed,2,1,1,not_recom,0
369,usual,3,completed,2,1,0,recommended,1
370,usual,3,completed,2,1,0,priority,1
371,usual,3,completed,2,1,0,not_recom,0
372,usual,3,completed,2,1,2,recommended,1
373,usual,3,completed,2,1,2,priority,1
374,usual,3,completed,2,1,2,not_recom,0
375,usual,3,completed,2,1,1,recommended,1
376,usual,3,completed,2,1,1,priority,1
377,usual,3,completed,2,1,1,not_recom,0
378,usual,3,completed,3,0,0,recommended,4
379,usual,3,completed,3,0,0,priority,1
380,usual,3,completed,3,0,0,not_recom,0
381,usual,3,completed,3,0,2,recommended,4
382,usual,3,completed,3,0,2,priority,1
383,usual,3,completed,3,0,2,not_recom,0
384,usual,3,completed,3,0,1,recommended,1
385,usual,3,completed,3,0,1,priority,1
386,usual,3,completed,3,0,1,not_recom,0
387,usual,3,completed,3,0,0,recommended,1
388,usual,3,completed,3,0,0,priority,1
389,usual,3,completed,3,0,0,not_recom,0
390,usual,3,completed,3,0,2,recommended,1
391,usual,3,completed,3,0,2,priority,1
392,usual,3,completed,3,0,2,not_recom,0
393,usual,3,completed,3,0,1,recommended,1
394,usual,3,completed,3,0,1,priority,1
395,usual,3,completed,3,0,1,not_recom,0
396,usual,3,completed,3,2,0,recommended,1
397,usual,3,completed,3,2,0,priority,1
398,usual,3,completed,3,2,0,not_recom,0
399,usual,3,completed,3,2,2,recommended,1
400,usual,3,completed,3,2,2,priority,1
401,usual,3,completed,3,2,2,not_recom,0
402,usual,3,completed,3,2,1,recommended,1
403,usual,3,completed,3,2,1,priority,1
404,usual,3,completed,3,2,1,not_recom,0
405,usual,3,completed,3,2,0,recommended,1
406,usual,3,completed,3,2,0,priority,1
407,usual,3,completed,3,2,0,not_recom,0
408,usual,3,completed,3,2,2,recommended,1
409,usual,3,completed,3,2,2,priority,1
410,usual,3,completed,3,2,2,not_recom,0
411,usual,3,completed,3,2,1,recommended,1
412,usual,3,completed,3,2,1,priority,1
413,usual,3,completed,3,2,1,not_recom,0
414,usual,3,completed,3,1,0,recommended,1
415,usual,3,completed,3,1,0,priority,1
416,usual,3,completed,3,1,0,not_recom,0
417,usual,3,completed,3,1,2,recommended,1
418,usual,3,completed,3,1,2,priority,1
419,usual,3,completed,3,1,2,not_recom,0
420,usual,3,completed,3,1,1,recommended,1
421,usual,3,completed,3,1,1,priority,1
422,usual,3,completed,3,1,1,not_recom,0
423,usual,3,completed,3,1,0,recommended,1
424,usual,3,completed,3,1,0,priority,1
425,usual,3,completed,3,1,0,not_recom,0
426,usual,3,completed,3,1,2,recommended,1
427,usual,3,completed,3,1,2,priority,1
428,usual,3,completed,3,1,2,not_recom,0
429,usual,3,completed,3,1,1,recommended,1
430,usual,3,completed,3,1,1,priority,1
431,usual,3,completed,3,1,1,not_recom,0
432,usual,3,incomplete,0,0,0,recommended,4
433,usual,3,incomplete,0,0,0,priority,1
434,usual,3,incomplete,0,0,0,not_recom,0
435,usual,3,incomplete,0,0,2,recommended,4
436,usual,3,incomplete,0,0,2,priority,1
437,usual,3,incomplete,0,0,2,not_recom,0
438,usual,3,incomplete,0,0,1,recommended,1
439,usual,3,incomplete,0,0,1,priority,1
440,usual,3,incomplete,0,0,1,not_recom,0
441,usual,3,incomplete,0,0,0,recommended,4
442,usual,3,incomplete,0,0,0,priority,1
443,usual,3,incomplete,0,0,0,not_recom,0
444,usual,3,incomplete,0,0,2,recommended,4
445,usual,3,incomplete,0,0,2,priority,1
446,usual,3,incomplete,0,0,2,not_recom,0
447,usual,3,incomplete,0,0,1,recommended,1
448,usual,3,incomplete,0,0,1,priority,1
449,usual,3,incomplete,0,0,1,not_recom,0
450,usual,3,incomplete,0,2,0,recommended,4
451,usual,3,incomplete,0,2,0,priority,1
452,usual,3,incomplete,0,2,0,not_recom,0
453,usual,3,incomplete,0,2,2,recommended,4
454,usual,3,incomplete,0,2,2,priority,1
455,usual,3,incomplete,0,2,2,not_recom,0
456,usual,3,incomplete,0,2,1,recommended,1
457,usual,3,incomplete,0,2,1,priority,1
458,usual,3,incomplete,0,2,1,not_recom,0
459,usual,3,incomplete,0,2,0,recommended,4
460,usual,3,incomplete,0,2,0,priority,1
461,usual,3,incomplete,0,2,0,not_recom,0
462,usual,3,incomplete,0,2,2,recommended,4
463,usual,3,incomplete,0,2,2,priority,1
464,usual,3,incomplete,0,2,2,not_recom,0
465,usual,3,incomplete,0,2,1,recommended,1
466,usual,3,incomplete,0,2,1,priority,1
467,usual,3,incomplete,0,2,1,not_recom,0
468,usual,3,incomplete,0,1,0,recommended,1
469,usual,3,incomplete,0,1,0,priority,1
470,usual,3,incomplete,0,1,0,not_recom,0
471,usual,3,incomplete,0,1,2,recommended,1
472,usual,3,incomplete,0,1,2,priority,1
473,usual,3,incomplete,0,1,2,not_recom,0
474,usual,3,incomplete,0,1,1,recommended,1
475,usual,3,incomplete,0,1,1,priority,1
476,usual,3,incomplete,0,1,1,not_recom,0
477,usual,3,incomplete,0,1,0,recommended,1
478,usual,3,incomplete,0,1,0,priority,1
479,usual,3,incomplete,0,1,0,not_recom,0
480,usual,3,incomplete,0,1,2,recommended,1
481,usual,3,incomplete,0,1,2,priority,1
482,usual,3,incomplete,0,1,2,not_recom,0
483,usual,3,incomplete,0,1,1,recommended,1
484,usual,3,incomplete,0,1,1,priority,1
485,usual,3,incomplete,0,1,1,not_recom,0
486,usual,3,incomplete,1,0,0,recommended,4
487,usual,3,incomplete,1,0,0,priority,1
488,usual,3,incomplete,1,0,0,not_recom,0
489,usual,3,incomplete,1,0,2,recommended,4
490,usual,3,incomplete,1,0,2,priority,1
491,usual,3,incomplete,1,0,2,not_recom,0
492,usual,3,incomplete,1,0,1,recommended,1
493,usual,3,incomplete,1,0,1,priority,1
494,usual,3,incomplete,1,0,1,not_recom,0
495,usual,3,incomplete,1,0,0,recommended,1
496,usual,3,incomplete,1,0,0,priority,1
497,usual,3,incomplete,1,0,0,not_recom,0
498,usual,3,incomplete,1,0,2,recommended,1
499,usual,3,incomplete,1,0,2,priority,1
500,usual,3,incomplete,1,0,2,not_recom,0
501,usual,3,incomplete,1,0,1,recommended,1
502,usual,3,incomplete,1,0,1,priority,1
503,usual,3,incomplete,1,0,1,not_recom,0
504,usual,3,incomplete,1,2,0,recommended,1
505,usual,3,incomplete,1,2,0,priority,1
506,usual,3,incomplete,1,2,0,not_recom,0
507,usual,3,incomplete,1,2,2,recommended,1
508,usual,3,incomplete,1,2,2,priority,1
509,usual,3,incomplete,1,2,2,not_recom,0
510,usual,3,incomplete,1,2,1,recommended,1
511,usual,3,incomplete,1,2,1,priority,1
512,usual,3,incomplete,1,2,1,not_recom,0
513,usual,3,incomplete,1,2,0,recommended,1
514,usual,3,incomplete,1,2,0,priority,1
515,usual,3,incomplete,1,2,0,not_recom,0
516,usual,3,incomplete,1,2,2,recommended,1
517,usual,3,incomplete,1,2,2,priority,1
518,usual,3,incomplete,1,2,2,not_recom,0
519,usual,3,incomplete,1,2,1,recommended,1
520,usual,3,incomplete,1,2,1,priority,1
521,usual,3,incomplete,1,2,1,not_recom,0
522,usual,3,incomplete,1,1,0,recommended,1
523,usual,3,incomplete,1,1,0,priority,1
524,usual,3,incomplete,1,1,0,not_recom,0
525,usual,3,incomplete,1,1,2,recommended,1
526,usual,3,incomplete,1,1,2,priority,1
527,usual,3,incomplete,1,1,2,not_recom,0
528,usual,3,incomplete,1,1,1,recommended,1
529,usual,3,incomplete,1,1,1,priority,1
530,usual,3,incomplete,1,1,1,not_recom,0
531,usual,3,incomplete,1,1,0,recommended,1
532,usual,3,incomplete,1,1,0,priority,1
533,usual,3,incomplete,1,1,0,not_recom,0
534,usual,3,incomplete,1,1,2,recommended,1
535,usual,3,incomplete,1,1,2,priority,1
536,usual,3,incomplete,1,1,2,not_recom,0
537,usual,3,incomplete,1,1,1,recommended,1
538,usual,3,incomplete,1,1,1,priority,1
539,usual,3,incomplete,1,1,1,not_recom,0
540,usual,3,incomplete,2,0,0,recommended,4
541,usual,3,incomplete,2,0,0,priority,1
542,usual,3,incomplete,2,0,0,not_recom,0
543,usual,3,incomplete,2,0,2,recommended,4
544,usual,3,incomplete,2,0,2,priority,1
545,usual,3,incomplete,2,0,2,not_recom,0
546,usual,3,incomplete,2,0,1,recommended,1
547,usual,3,incomplete,2,0,1,priority,1
548,usual,3,incomplete,2,0,1,not_recom,0
549,usual,3,incomplete,2,0,0,recommended,1
550,usual,3,incomplete,2,0,0,priority,1
551,usual,3,incomplete,2,0,0,not_recom,0
552,usual,3,incomplete,2,0,2,recommended,1
553,usual,3,incomplete,2,0,2,priority,1
554,usual,3,incomplete,2,0,2,not_recom,0
555,usual,3,incomplete,2,0,1,recommended,1
556,usual,3,incomplete,2,0,1,priority,1
557,usual,3,incomplete,2,0,1,not_recom,0
558,usual,3,incomplete,2,2,0,recommended,1
559,usual,3,incomplete,2,2,0,priority,1
560,usual,3,incomplete,2,2,0,not_recom,0
561,usual,3,incomplete,2,2,2,recommended,1
562,usual,3,incomplete,2,2,2,priority,1
563,usual,3,incomplete,2,2,2,not_recom,0
564,usual,3,incomplete,2,2,1,recommended,1
565,usual,3,incomplete,2,2,1,priority,1
566,usual,3,incomplete,2,2,1,not_recom,0
567,usual,3,incomplete,2,2,0,recommended,1
568,usual,3,incomplete,2,2,0,priority,1
569,usual,3,incomplete,2,2,0,not_recom,0
570,usual,3,incomplete,2,2,2,recommended,1
571,usual,3,incomplete,2,2,2,priority,1
572,usual,3,incomplete,2,2,2,not_recom,0
573,usual,3,incomplete,2,2,1,recommended,1
574,usual,3,incomplete,2,2,1,priority,1
575,usual,3,incomplete,2,2,1,not_recom,0
576,usual,3,incomplete,2,1,0,recommended,1
577,usual,3,incomplete,2,1,0,priority,1
578,usual,3,incomplete,2,1,0,not_recom,0
579,usual,3,incomplete,2,1,2,recommended,1
580,usual,3,incomplete,2,1,2,priority,1
581,usual,3,incomplete,2,1,2,not_recom,0
582,usual,3,incomplete,2,1,1,recommended,1
583,usual,3,incomplete,2,1,1,priority,1
584,usual,3,incomplete,2,1,1,not_recom,0
585,usual,3,incomplete,2,1,0,recommended,1
586,usual,3,incomplete,2,1,0,priority,1
587,usual,3,incomplete,2,1,0,not_recom,0
588,usual,3,incomplete,2,1,2,recommended,1
589,usual,3,incomplete,2,1,2,priority,1
590,usual,3,incomplete,2,1,2,not_recom,0
591,usual,3,incomplete,2,1,1,recommended,1
592,usual,3,incomplete,2,1,1,priority,1
593,usual,3,incomplete,2,1,1,not_recom,0
594,usual,3,incomplete,3,0,0,recommended,4
595,usual,3,incomplete,3,0,0,priority,1
596,usual,3,incomplete,3,0,0,not_recom,0
597,usual,3,incomplete,3,0,2,recommended,4
598,usual,3,incomplete,3,0,2,priority,1
599,usual,3,incomplete,3,0,2,not_recom,0
600,usual,3,incomplete,3,0,1,recommended,1
601,usual,3,incomplete,3,0,1,priority,1
602,usual,3,incomplete,3,0,1,not_recom,0
603,usual,3,incomplete,3,0,0,recommended,1
604,usual,3,incomplete,3,0,0,priority,1
605,usual,3,incomplete,3,0,0,not_recom,0
606,usual,3,incomplete,3,0,2,recommended,1
607,usual,3,incomplete,3,0,2,priority,1
608,usual,3,incomplete,3,0,2,not_recom,0
609,usual,3,incomplete,3,0,1,recommended,1
610,usual,3,incomplete,3,0,1,priority,1
611,usual,3,incomplete,3,0,1,not_recom,0
612,usual,3,incomplete,3,2,0,recommended,1
613,usual,3,incomplete,3,2,0,priority,1
614,usual,3,incomplete,3,2,0,not_recom,0
615,usual,3,incomplete,3,2,2,recommended,1
616,usual,3,incomplete,3,2,2,priority,1
